Description,TotalSalesDollars,TotalSalesQuantity,TotalPurchaseDollars,TotalPurchaseQuantity,GrossProfit,ProfitMargin,TargetBrand
14 Hands Hot to Trot White,16198.86,1714.0,9715.0,1675,6483.860000000001,40.02664385024625,No
14 Hands Merlot Wash,148235.97,14989.0,85550.4,14624,62685.57000000001,42.287691712072316,No
14 Hands Moscato,798.15,85.0,570.58,94,227.56999999999994,28.512184426486243,No
14 Hands Pinot Grigio,40353.49,4361.0,25380.010000000002,4309,14973.479999999996,37.10578688485183,No
14 Hands Red Blend Ltd,9570.42,958.0,5173.2,958,4397.22,45.94594594594595,No
14 Hands Red Blend Stampede,25884.53,2547.0,18670.5,2766,7214.029999999999,27.870044385584748,No
14 Hands Rsl Wash,531.48,52.0,410.4,60,121.08000000000004,22.781666290359006,No
14 Hands Svgn Bl,16640.6,1790.0,10167.4,1753,6473.199999999999,38.90003966203142,No
1792 Full Proof Bourbon,3576.21,79.0,2699.73,81,876.48,24.50862784903571,No
1792 Port Finish Bourbon,6998.25,175.0,5383.0,175,1615.25,23.080770192548137,No
1792 Single Barrel Bourbon,2445.3900000000003,61.0,1920.8899999999999,61,524.5000000000005,21.448521503727438,No
1792 Sweet Wheat Bourbon,3170.11,89.0,2491.11,89,679.0,21.418815119980064,No
1800 Anejo Tequila,30316.780000000002,722.0,19698.0,735,10618.780000000002,35.02608126588642,No
1800 Coconut Tequila,199138.59,8041.0,132535.44,8136,66603.15,33.445626987717446,No
1800 Reposado Gold Tequila,511933.9,25330.0,351466.17,26634,160467.73000000004,26.561876265024047,No
1800 Select Silver Tequila,2129.29,71.0,224.73,11,1904.56,89.44577770054806,No
1800 Silver Tequila,701881.81,27119.0,462235.45,27332,239646.36000000002,33.72690854199998,No
1800 Silver w/ Shot Glasses,31476.899999999998,1410.0,22251.96,1356,9224.939999999999,29.307015620979193,No
1800 Ultimate Margarita RTD,149258.31999999998,7568.0,101587.93000000001,7621,47670.38999999997,31.938179392612735,No
1800 Ultimate Peach Margrita,46049.719999999994,2428.0,30578.88,2544,15470.839999999993,33.595948031822985,No
19 Crimes Cab Svgn,63682.42,6158.0,42093.99,6407,21588.43,33.90014072957654,No
19 Crimes Red,195851.1,20530.0,150139.99000000002,21791,45711.109999999986,23.339725944863208,No
19 Crimes Warden Red,2823.87,113.0,2171.89,133,651.98,23.088173322426318,No
2 Copas Spain White,119.88,12.0,79.92,12,39.959999999999994,33.33333333333333,No
2 Gingers Irish Whiskey,321.85999999999996,14.0,190.26000000000002,14,131.59999999999994,40.88734232274901,No
20 Mile 09 Brdx Superior,1949.48,52.0,316.41999999999996,13,1633.06,83.76900506801813,No
24 Knots Pnt Nr,9393.62,638.0,4885.650000000001,517,4507.97,47.9896993917148,No
3 Ball Znfdl,14312.4,1060.0,10694.039999999999,1218,3618.3600000000006,25.28129454179593,No
3 Blind Moose Cab Svgn Cal,6344.47,653.0,2849.92,488,3494.55,55.080250990232436,No
3 Blind Moose Chard Cal,6058.7300000000005,627.0,2975.28,506,3083.4500000000003,50.892678828731434,No
3 Blind Moose Merlot Cal,6951.85,715.0,3048.91,509,3902.9400000000005,56.1424656746046,No
3 Blind Moose Pnt Grigio Cal,7285.51,749.0,3178.3999999999996,548,4107.110000000001,56.373678712952156,No
3 Brooms Svgn Bl Marlborough,25206.93,1707.0,16906.8,1752,8300.130000000001,32.92796861815382,No
4 Orange Vodka,483.78,22.0,68.2,4,415.58,85.90268303774444,Yes
44* North Huckleberry Vodka,1057.03,47.0,920.9200000000001,52,136.1099999999999,12.87664493912187,No
44* North Magic Valley Vodka,1349.4,60.0,622.8,36,726.6000000000001,53.846153846153854,No
900 Grapes Svgn Bl,59.94,6.0,40.5,6,19.439999999999998,32.43243243243243,No
99 Apples Schnapps Liqueur,46523.37,3463.0,26472.75,3525,20050.620000000003,43.097952706349524,No
99 Bananas,70779.07,5293.0,39194.84,5254,31584.23000000001,44.6236860699074,No
99 Blackberries,16537.95,16705.0,14911.5,19882,1626.4500000000007,9.834653025314507,No
A Bichot Adelie Mercury,815.76,24.0,228.1,10,587.66,72.03834461116014,No
A Bichot Ch Gris Nuits St Ge,648.89,11.0,40.68,1,608.21,93.73083265268383,No
A Bichot Chablis Long Depaqt,13133.609999999999,739.0,9821.359999999999,838,3312.25,25.219646388159845,No
A Bichot Chablis Vaucopins,1623.44,56.0,59.58,3,1563.8600000000001,96.33001527620362,No
A Bichot Chard Bourgogne,7452.2300000000005,477.0,6003.99,601,1448.2400000000007,19.433646036152947,No
A Bichot Clos Marechaudes,539.94,6.0,174.18,3,365.76000000000005,67.74086009556618,Yes
A Bichot Cremant Brut Rose,3402.27,173.0,2858.46,213,543.81,15.983740267527265,No
A Bichot Merc Champs M,515.88,12.0,28.1,1,487.78,94.5529968209661,Yes
A Bichot Morgon Les Charmes,9209.119999999999,488.0,1449.79,113,7759.329999999999,84.25701912886356,No
A Bichot Petit Chablis,8693.33,967.0,5753.650000000001,967,2939.6799999999994,33.815350389321466,No
A Bichot Pnt Nr Bourgogne,13745.23,877.0,8722.0,890,5023.23,36.545259701001726,No
A Bichot Pouilly-Fuisse,11751.31,569.0,8088.3,627,3663.0099999999993,31.171077947905378,No
A Bichot St-Amour Champlette,6804.389999999999,361.0,1586.23,127,5218.16,76.68813809908016,No
A Innocenti Nonni Cab Svgn,623.52,48.0,513.0,60,110.51999999999998,17.72517321016166,No
A Proper Pink,4442.58,342.0,3129.2999999999997,366,1313.2800000000002,29.561200923787535,No
A by Acacia Chard Cal,30677.23,3077.0,21463.92,3138,9213.310000000001,30.033057091530107,No
A by Acacia Pnt Nr Cal,47345.5,3150.0,30958.2,3276,16387.3,34.61215955053806,No
A by Acacia Red Cal,143.88,12.0,78.84,12,65.03999999999999,45.204336947456206,No
A by Acacia Unoaked Chard Ca,31888.61,3139.0,21627.710000000003,3139,10260.899999999998,32.17731973892872,No
A to Z Ore Chard,51823.43,3741.0,44250.52,4124,7572.9100000000035,14.612907713750332,No
A to Z Pnt Gris Ore,121242.67,9141.0,104442.56,9928,16800.11,13.85659850612,No
A to Z Pnt Nr Ore,224192.78,13578.0,185696.95,15385,38495.82999999999,17.170860720849255,No
A to Z Rose,798.53,47.0,684.0,60,114.52999999999997,14.342604535834594,No
A to Z Rsl,1002.41,59.0,668.47,59,333.93999999999994,33.313713949381984,No
Aalto Ribera Del Duero Red,49.99,1.0,33.78,1,16.21,32.42648529705941,No
Aberfeldy 12 Yr Single Malt,42761.19,881.0,39081.42,1029,3679.770000000004,8.60539662249812,No
Aberfeldy 21 Yr Single Malt,2879.82,18.0,1634.92,14,1244.9,43.22839621920815,No
Aberfeldy Single Cask,9459.62,38.0,8399.7,54,1059.92,11.204678412029235,No
Aberlour 16 Year Old Single,103249.72,1728.0,75132.95,1817,28116.770000000004,27.23181234777199,No
Aberlour A'Bunadh Sngle Malt,63976.259999999995,874.0,48968.700000000004,1254,15007.55999999999,23.45801395705218,No
Aberlour Glenlivet 12 Yr,143989.54,3446.0,103743.36,3486,40246.18000000001,27.95076642372773,No
Absente  Glass & Spoon Pack,11498.41,959.0,10796.94,1197,701.4699999999993,6.100582602290224,No
Absente 'Absinthe Refined',61679.12,1688.0,45015.12,1854,16664.0,27.0172466792652,No
Absinthe Ordinaire,44666.75,1825.0,31690.6,1930,12976.150000000001,29.051027889873343,No
Absolut 80 Proof,6244752.029999999,341297.0,4645700.09,344840,1599051.9399999992,27.051973257161904,No
Absolut Apeach,80236.70999999999,4529.0,61929.8,4614,18306.91,25.304973301091664,No
Absolut Berri Acai,45821.0,2600.0,29698.000000000004,2395,16122.999999999996,35.18692302655987,No
Absolut Cilantro,4164.72,228.0,2384.92,218,1779.8000000000002,42.73516586949423,No
Absolut Citron,1028260.25,69475.0,755175.04,69194,273085.20999999996,26.353694066347234,No
Absolut Elyx,674.85,15.0,553.76,16,121.09000000000003,17.94324664740313,No
Absolut Grapevine Vodka,5672.1,390.0,996.16,88,4675.9400000000005,82.4375451772712,No
Absolut Hibiskus,153.93,7.0,111.50999999999999,7,42.420000000000016,27.557980900409284,No
Absolut Mandrin,314932.26,30074.0,229490.72,30218,85441.54,27.772339878782617,No
Absolut Mini Bar 5/50mls,123563.28,17072.0,86937.68000000001,18419,36625.59999999999,29.64116847658948,No
Absolut Orient Apple Vodka,119.94,6.0,14.81,1,105.13,87.65215941303985,Yes
Absolut Pears,109752.69,6531.0,77875.98,6242,31876.709999999995,44.785359624231255,No
Absolut Peppar,77049.45,4355.0,56906.8,4520,20142.649999999994,26.142496799133536,No
Absolut Peppar Vodka,239.88,12.0,192.53,13,47.349999999999994,19.739036184759044,No
Absolut Raspberri,128021.57999999999,7242.0,90649.86,7239,37371.71999999999,20.68979663258903,No
Absolut Ruby Red,299239.07,13393.0,217313.65999999997,13498,81925.41000000002,23.568918236201128,No
Absolut Spark Vodka,24800.019999999997,1398.0,2789.6,220,22010.42,88.7516219744984,No
Absolut Vanilia,140681.87999999998,18012.0,108638.29,18712,32043.589999999993,24.953165208965263,No
Absolut Wild Tea,901.88,62.0,144.95000000000002,13,756.93,83.9280170310906,No
Acacia Winery Pnt Nr Carnero,447.84,16.0,432.16999999999996,23,15.670000000000016,3.499017506252237,No
Achaval Ferrer Cab Svgn,229.89999999999998,10.0,195.39000000000001,13,34.50999999999996,15.010874293170929,No
Achaval Ferrer Malbec,41945.509999999995,2149.0,28850.36,2233,13095.149999999994,31.219432067937653,No
Achaval Ferrer Quimera,29358.23,1277.0,19668.39,1283,9689.84,33.005532009252605,No
Acorn Alegria Vyds Cab Franc,2944.94,106.0,1408.68,78,1536.26,52.1660882734453,No
Acorn Cve Alegria Russ Syrah,2780.0099999999998,99.0,924.5,50,1855.5099999999998,66.74472393984195,No
Acorn Dolcetto Alegria RRV,3023.0099999999998,99.0,1290.8999999999999,65,1732.11,57.29752796054264,No
Acorn Medley Alegria RRV,1934.25,75.0,288.49,17,1645.76,85.08517513248029,No
Acorn Sangiovese Alegria RRV,8434.98,302.0,5670.84,314,2764.1399999999994,32.769965074013214,No
Acquese Moscato D'Asti Dolc,14795.66,1234.0,10418.49,1269,4377.17,29.584148324576258,No
Acrobat King Est Rose Pnt Nr,31785.28,2272.0,18436.68,2322,13348.599999999999,41.996169295975996,No
Acrobat Pnt Gris Oregon,110585.18,9170.0,86585.76,10611,23999.42,21.702202772559577,No
Acumen Moutainside Red Napa,114829.05,4595.0,56766.450000000004,3385,58062.6,50.564382445034596,No
Adaption by Odette Chard,3294.97,103.0,610.45,29,2684.5199999999995,81.47327593270954,No
Adelsheim Auxerrois Ribbon S,901.5899999999999,41.0,193.18,13,708.4099999999999,78.57340919930344,No
Adelsheim Bryan Creek Pnt Nr,2449.65,35.0,559.92,12,1889.73,77.14285714285714,No
Adelsheim Caitlins Rsv Chard,1639.5900000000001,41.0,623.28,24,1016.3100000000002,61.98561835580847,No
Adelsheim Chard Willmete Vly,1813.2399999999998,76.0,987.84,84,825.3999999999997,45.520725331450876,No
Adelsheim Elizbth RSV Pnt Nr,2561.45,55.0,899.9300000000001,31,1661.5199999999998,64.866384274532,No
Adelsheim Pnt Gris Ore,12788.15,785.0,9694.92,934,3093.2299999999996,24.18825240554732,No
Adelsheim Pnt Nr Ore,33531.43,1357.0,27712.16,1744,5819.27,17.354672914337385,No
Adissat Cotes du Rhone,1244.17,83.0,129.09,13,1115.0800000000002,89.62440824003151,No
Adissat Gabrielle Ch du Pape,639.84,16.0,161.04,6,478.80000000000007,74.8312078019505,No
Adissat Lirac,6176.91,309.0,1222.95,93,4953.96,80.20126568138438,No
Admiral Nelson Egg Nog,450.31,69.0,92.82,17,357.49,79.38753303279962,Yes
Admiral Nelson Spiced Rum,122358.39,8561.0,90681.84,8686,31676.550000000003,25.888335078616187,No
After Shock Hot & Cool Cinmn,87915.35,26265.0,70346.67,26898,17568.68,19.916428832752132,No
